URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER ARTICLE,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,109,85,0.12371133956849825,0.2070437564492596,12.493333333333334,0.4119530416221985,5.162114549982213,12,386,1815,2267,0,8
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,79,59,0.14492753518168452,0.260377357999288,6.708860759493671,0.33773584905660375,2.81863864342011,6,179,1444,1154,1,7
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,106,82,0.12765957378904483,0.23857867990028087,9.380952380952381,0.4200507614213198,3.920401256949481,9,331,1719,1930,1,8
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,103,52,0.3290322559417274,0.2487961472732004,6.846153846153846,0.3274478330658106,2.8694406716878627,6,204,1605,1334,0,7
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,92,47,0.32374100486517265,0.19605077546396224,9.328947368421053,0.3751763046544429,3.881649469230199,9,266,1761,1608,4,7
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,73,44,0.2478632457447586,0.23684210478372045,8.981818181818182,0.354251012145749,3.7344276775855727,8,175,1279,1110,8,7
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,32,26,0.10344827407847804,0.19269102926016268,6.840909090909091,0.3554817275747508,2.878556327393537,6,107,745,684,0,7
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,37,29,0.12121211937557395,0.233215546879097,8.085714285714285,0.2826855123674912,3.347359919232711,8,80,729,576,0,7
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,116,76,0.2083333322482639,0.20983606534444146,11.4375,0.35628415300546445,4.717513661202186,11,326,2226,2059,6,7
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,86,97,-0.060109289289020276,0.2008781556521645,10.122222222222222,0.30735455543358947,4.1718307110623245,10,280,2012,1975,1,7
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,70,35,0.3333333301587302,0.19480519444377514,9.456140350877194,0.4452690166975881,3.960563747029913,9,240,1184,1336,2,8
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,65,38,0.26213591978508816,0.1775862065903686,7.25,0.33275862068965517,3.0331034482758623,7,193,1261,1223,1,7
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,95,55,0.2666666648888889,0.25862068920927467,9.666666666666666,0.3603448275862069,4.010804597701149,9,209,1682,1377,11,8
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,87,60,0.18367346813827573,0.21973094137558902,8.3625,0.36771300448430494,3.4920852017937225,8,246,1595,1523,0,7
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,35,22,0.2280701714373654,0.24255319045722046,11.19047619047619,0.4425531914893617,4.653211752786221,11,104,504,589,0,8
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,118,57,0.34857142657959184,0.2897350988580545,75.5,0.3791390728476821,30.351655629139074,75,229,1858,1401,1,8
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,43,30,0.17808218934133987,0.2218844978058222,7.311111111111111,0.3981762917933131,3.08371496116177,7,131,759,742,0,7
